movie_title,poster_url
Avatar,https://via.placeholder.com/150?text=No+Image
Pirates of the Caribbean: At World's End,https://via.placeholder.com/150?text=No+Image
Spectre,https://via.placeholder.com/150?text=No+Image
The Dark Knight Rises,https://via.placeholder.com/150?text=No+Image
John Carter,https://via.placeholder.com/150?text=No+Image
Tangled,https://via.placeholder.com/150?text=No+Image
Avengers: Age of Ultron,https://via.placeholder.com/150?text=No+Image
Harry Potter and the Half-Blood Prince,https://via.placeholder.com/150?text=No+Image
Batman v Superman: Dawn of Justice,https://via.placeholder.com/150?text=No+Image
Superman Returns,https://via.placeholder.com/150?text=No+Image
Quantum of Solace,https://via.placeholder.com/150?text=No+Image
Pirates of the Caribbean: Dead Man's Chest,https://via.placeholder.com/150?text=No+Image
The Lone Ranger,https://via.placeholder.com/150?text=No+Image
Man of Steel,https://via.placeholder.com/150?text=No+Image
The Chronicles of Narnia: Prince Caspian,https://via.placeholder.com/150?text=No+Image
Pirates of the Caribbean: On Stranger Tides,https://via.placeholder.com/150?text=No+Image
Men in Black 3,https://via.placeholder.com/150?text=No+Image
The Hobbit: The Battle of the Five Armies,https://via.placeholder.com/150?text=No+Image
The Amazing Spider-Man,https://via.placeholder.com/150?text=No+Image
Robin Hood,https://via.placeholder.com/150?text=No+Image
The Hobbit: The Desolation of Smaug,https://via.placeholder.com/150?text=No+Image
The Golden Compass,https://via.placeholder.com/150?text=No+Image
Titanic,https://via.placeholder.com/150?text=No+Image
Captain America: Civil War,https://via.placeholder.com/150?text=No+Image
Battleship,https://via.placeholder.com/150?text=No+Image
Jurassic World,https://via.placeholder.com/150?text=No+Image
Spider-Man 2,https://via.placeholder.com/150?text=No+Image
Iron Man 3,https://via.placeholder.com/150?text=No+Image
X-Men: The Last Stand,https://via.placeholder.com/150?text=No+Image
Monsters University,https://via.placeholder.com/150?text=No+Image
Transformers: Revenge of the Fallen,https://via.placeholder.com/150?text=No+Image
Transformers: Age of Extinction,https://via.placeholder.com/150?text=No+Image
The Amazing Spider-Man 2,https://via.placeholder.com/150?text=No+Image
Cars 2,https://via.placeholder.com/150?text=No+Image
Green Lantern,https://via.placeholder.com/150?text=No+Image
Toy Story 3,https://via.placeholder.com/150?text=No+Image
Terminator Salvation,https://via.placeholder.com/150?text=No+Image
Furious 7,https://via.placeholder.com/150?text=No+Image
World War Z,https://via.placeholder.com/150?text=No+Image
X-Men: Days of Future Past,https://via.placeholder.com/150?text=No+Image
Star Trek Into Darkness,https://via.placeholder.com/150?text=No+Image
Jack the Giant Slayer,https://via.placeholder.com/150?text=No+Image
Prince of Persia: The Sands of Time,https://via.placeholder.com/150?text=No+Image
Pacific Rim,https://via.placeholder.com/150?text=No+Image
Transformers: Dark of the Moon,https://via.placeholder.com/150?text=No+Image
Indiana Jones and the Kingdom of the Crystal Skull,https://via.placeholder.com/150?text=No+Image
The Good Dinosaur,https://via.placeholder.com/150?text=No+Image
Brave,https://via.placeholder.com/150?text=No+Image
Star Trek Beyond,https://via.placeholder.com/150?text=No+Image
